feedback_id,customer_name,email,feedback_text,rating,submission_date,product_category
30,Andrew Green,andrew.g@email.com,"Printer setup was complicated and instructions were unclear. Print quality is acceptable but not exceptional for photos. Scanning function works reliably. Ink cartridges seem to run out quickly making ongoing costs higher than anticipated initially.",3,2024-11-07,Electronics
31,Melissa Adams,melissa.adams@email.com,"Olive oil has excellent flavor and comes from a reputable source. I use it for cooking and salad dressings regularly. The bottle design prevents dripping which keeps my kitchen clean. Price is competitive with similar quality products available locally.",4,2024-10-12,Food
32,Jonathan Baker,j.baker@email.com,"Hiking boots are comfortable right out of the box with no break-in period needed. Waterproofing works effectively and ankle support is solid. Tread provides good traction on various terrains. After several trails these have become my go-to footwear.",5,2024-11-21,Clothing
34,Brian Carter,brian.c@email.com,"Graphic novel artwork is stunning with incredible attention to detail on every page. Story is compelling and emotionally engaging. Print quality showcases the illustrations beautifully. Arrived well protected and in perfect condition. Highly recommend to comic enthusiasts.",5,2024-11-13,Books
35,Kimberly Mitchell,kim.mitchell@email.com,"Fitness tracker is inaccurate with step counting often showing thousands more steps than actually taken. Heart rate monitoring seems reliable though. Sleep tracking provides interesting insights. Mixed results overall but price point was affordable.",3,2024-10-08,Electronics
36,Timothy Perez,tim.perez@email.com,"Granola has great texture and flavor with wholesome ingredients. Perfect for breakfast with yogurt or as a snack. Packaging could be more environmentally friendly but taste and quality make it my regular purchase. Good balance of sweetness.",4,2024-11-26,Food
37,Angela Roberts,angela.r@email.com,"Scarf is beautiful with vibrant colors and soft fabric. Versatile enough for casual or dressy occasions. Care instructions indicate hand wash only which is inconvenient. Despite this minor drawback it's become a favorite accessory in my wardrobe.",4,2024-10-14,Clothing
39,Heather Phillips,heather.p@email.com,"Self-help book offers practical advice with actionable steps. Writing style is engaging and not preachy. Some concepts were repetitive but overall message is valuable. Finished it quickly and have already implemented several suggestions with positive results.",4,2024-10-27,Books
40,Frank Campbell,frank.c@email.com,"External hard drive failed after two months losing important files. Extremely disappointed and frustrated with data loss. Build quality feels cheap despite decent brand reputation. Customer support was unhelpful and denied warranty claim on technicality.",1,2024-11-16,Electronics
41,Christine Parker,christine.p@email.com,"Salsa has perfect spice level and fresh taste. Ingredients are natural without artificial additives. Glass jar is recyclable which I appreciate. Wish it came in larger sizes because my family goes through it quickly. Definitely reordering soon.",5,2024-10-10,Food
43,Rebecca Edwards,rebecca.e@email.com,"Candle set has wonderful scents that fill the room without being overwhelming. Burn time is impressive and wax is clean-burning. Packaging makes them perfect for gifting. Slightly expensive but quality and presentation justify the premium pricing.",5,2024-10-06,Home
44,George Collins,george.c@email.com,"Historical fiction novel was captivating with rich period details. Characters felt authentic and plot kept me engaged throughout. Minor historical inaccuracies noticed but didn't detract from enjoyment. Book club selection was unanimous hit with group.",4,2024-11-11,Books
46,Carl Morris,carl.morris@email.com,"Trail mix has good variety of nuts and dried fruits. Fresh tasting with no stale components. Portion sizes in individual packs are convenient for hiking. Price per ounce is higher than bulk options but convenience factor makes it worthwhile.",4,2024-11-29,Food
47,Deborah Rogers,deborah.r@email.com,"Raincoat is lightweight and packable but not very waterproof in heavy rain. Fine for light drizzle but soaked through during storm. Style is attractive and fits well. Disappointed it doesn't perform as advertised for weather protection.",2,2024-10-17,Clothing
48,Raymond Reed,raymond.reed@email.com,"Cutting board is beautiful bamboo with smooth surface. Large enough for meal prep but fits in my dishwasher. Hasn't warped or cracked after months of use. Knife-friendly surface that doesn't dull blades. Excellent kitchen essential.",5,2024-11-06,Home
49,Cynthia Cook,cynthia.cook@email.com,"Children's book collection has delightful illustrations and engaging stories. My kids request these every night for bedtime. Educational value with entertaining narratives. Hardcover editions are durable for repeated reading. Great investment for young readers.",5,2024-10-25,Books
50,Jerry Morgan,jerry.morgan@email.com,"Smart speaker sound quality is clear for music and voice responses. Setup was straightforward and integration with smart home devices works seamlessly. Privacy concerns exist but functionality is impressive. Good addition to connected home ecosystem.",4,2024-11-19,Electronics
