id,name,age,email,salary,department,join_date,performance_score
53,Scott Cook,46,scott.cook@company.com,97000.25,Finance,2016-01-18,4.4
54,Cynthia Morgan,28,cynthia.morgan@company.com,56000.50,Marketing,2021-09-01,3.6
55,Eric Bell,43,eric.bell@company.com,90000.75,Engineering,2016-07-14,4.3
56,Kathleen Murphy,34,kathleen.murphy@company.com,71000.00,HR,2019-02-26,4.0
57,Raymond Bailey,50,raymond.bailey@company.com,112000.25,Engineering,2015-05-09,4.6
58,Shirley Rivera,32,shirley.rivera@company.com,67000.50,Sales,2020-04-22,3.8
59,Jacob Cooper,37,jacob.cooper@company.com,79000.75,Finance,2018-01-05,4.1
60,Angela Richardson,29,angela.richardson@company.com,59000.00,Marketing,2021-10-18,3.7
61,Nicholas Cox,44,nicholas.cox@company.com,93000.25,Engineering,2016-08-31,4.3
62,Brenda Howard,31,brenda.howard@company.com,65000.50,HR,2020-05-13,3.9
63,Benjamin Ward,52,benjamin.ward@company.com,122000.75,Engineering,2015-02-25,4.7
64,Amy Torres,26,amy.torres@company.com,49000.00,Sales,2022-03-07,3.4
65,Gregory Peterson,38,gregory.peterson@company.com,82000.25,Engineering,2017-11-20,4.2
66,Christine Gray,35,christine.gray@company.com,73000.50,Finance,2018-06-02,4.0
67,Roger Ramirez,45,roger.ramirez@company.com,95000.75,Engineering,2016-03-15,4.4
68,Janet James,30,janet.james@company.com,61000.00,Marketing,2020-09-28,3.8
69,Samuel Watson,41,samuel.watson@company.com,88000.25,HR,2017-04-11,4.2
70,Catherine Brooks,28,catherine.brooks@company.com,57000.50,Sales,2021-11-24,3.6
71,Patrick Kelly,49,patrick.kelly@company.com,109000.75,Engineering,2015-08-07,4.5
72,Frances Sanders,33,frances.sanders@company.com,69000.00,Finance,2019-05-20,3.9
73,Alexander Price,39,alexander.price@company.com,84000.25,Engineering,2017-12-03,4.2
74,Ann Bennett,27,ann.bennett@company.com,54000.50,Marketing,2022-01-16,3.5
75,Jack Wood,46,jack.wood@company.com,99000.75,Engineering,2016-09-29,4.4
76,Joyce Barnes,32,joyce.barnes@company.com,68000.00,HR,2019-12-12,3.9
77,Harold Ross,54,harold.ross@company.com,128000.25,Engineering,2015-03-26,4.8
78,Diane Henderson,34,diane.henderson@company.com,72000.50,Sales,2018-07-09,4.0
79,Carl Coleman,42,carl.coleman@company.com,89000.75,Finance,2017-02-22,4.2
80,Alice Jenkins,29,alice.jenkins@company.com,60000.00,Marketing,2021-06-05,3.7
81,Ryan Perry,37,ryan.perry@company.com,80000.25,Engineering,2018-03-18,4.1
82,Julia Powell,44,julia.powell@company.com,92000.50,Engineering,2016-10-01,4.3
83,Arthur Long,31,arthur.long@company.com,66000.75,Sales,2020-02-14,3.8
84,Ruth Patterson,48,ruth.patterson@company.com,104000.00,Engineering,2015-06-27,4.5
85,Willie Hughes,36,willie.hughes@company.com,75000.25,HR,2018-11-10,4.0
86,Heather Flores,28,heather.flores@company.com,56000.50,Marketing,2021-08-23,3.6
87,Joe Washington,43,joe.washington@company.com,91000.75,Finance,2016-04-05,4.3
88,Teresa Butler,30,teresa.butler@company.com,63000.00,Sales,2020-07-18,3.8
89,Albert Simmons,51,albert.simmons@company.com,118000.25,Engineering,2015-10-11,4.6
90,Virginia Foster,33,virginia.foster@company.com,70000.50,HR,2019-01-24,3.9
91,Henry Gonzales,40,henry.gonzales@company.com,86000.75,Engineering,2017-09-06,4.2
92,Doris Bryant,27,doris.bryant@company.com,52000.00,Marketing,2022-05-19,3.5
93,Ralph Alexander,47,ralph.alexander@company.com,103000.25,Engineering,2015-12-04,4.5
94,Jean Russell,35,jean.russell@company.com,74000.50,Finance,2018-08-17,4.0
95,Douglas Griffin,38,douglas.griffin@company.com,81000.75,Engineering,2017-07-30,4.1
96,Kathryn Diaz,29,kathryn.diaz@company.com,59000.00,Sales,2021-03-12,3.7
97,Peter Hayes,45,peter.hayes@company.com,96000.25,Engineering,2016-05-25,4.4
98,Janice Myers,32,janice.myers@company.com,68000.50,HR,2019-10-08,3.9
99,Eugene Ford,50,eugene.ford@company.com,114000.75,Engineering,2015-07-21,4.6
100,Marie Hamilton,31,marie.hamilton@company.com,64000.00,Marketing,2020-12-03,3.8
101,Roy Graham,39,roy.graham@company.com,83000.25,Finance,2017-03-16,4.1
102,Beverly Sullivan,28,beverly.sullivan@company.com,57000.50,Sales,2021-12-29,3.6
103,Louis Wallace,44,louis.wallace@company.com,93000.75,Engineering,2016-11-11,4.3
104,Denise Woods,30,denise.woods@company.com,62000.00,HR,2020-06-24,3.8
105,Philip Cole,53,philip.cole@company.com,126000.25,Engineering,2015-04-08,4.7
106,Martha West,34,martha.west@company.com,71000.50,Sales,2018-09-21,4.0
107,Johnny Jordan,41,johnny.jordan@company.com,87000.75,Finance,2017-06-04,4.2
108,Gloria Owens,27,gloria.owens@company.com,53000.00,Marketing,2022-02-17,3.5
109,Adam Reynolds,46,adam.reynolds@company.com,100000.25,Engineering,2015-11-30,4.5
110,Judith Fisher,33,judith.fisher@company.com,69000.50,HR,2019-04-13,3.9
111,Jerry Ellis,40,jerry.ellis@company.com,85000.75,Engineering,2017-10-26,4.2
112,Christina Nichols,29,christina.nichols@company.com,60000.00,Sales,2021-01-08,3.7
113,Lawrence Dixon,48,lawrence.dixon@company.com,107000.25,Engineering,2015-09-22,4.5
114,Kelly Schmidt,32,kelly.schmidt@company.com,67000.50,Marketing,2019-11-05,3.9
115,Dennis Snyder,37,dennis.snyder@company.com,78000.75,Finance,2018-02-18,4.1
116,Pamela Fuller,26,pamela.fuller@company.com,50000.00,Sales,2022-06-01,3.4
117,Frank Day,43,frank.day@company.com,90000.25,Engineering,2016-07-14,4.3
118,Martha Webb,31,martha.webb@company.com,65000.50,HR,2020-03-27,3.9
119,Randy Richards,52,randy.richards@company.com,121000.75,Engineering,2015-02-11,4.7
120,Debra Willis,35,debra.willis@company.com,73000.00,Sales,2018-10-24,4.0
121,Gregory Hunt,42,gregory.hunt@company.com,88000.25,Finance,2017-05-07,4.2
122,Rose Hart,28,rose.hart@company.com,56000.50,Marketing,2021-09-20,3.6
123,Gerald Dean,49,gerald.dean@company.com,110000.75,Engineering,2015-08-13,4.6
124,Mildred Berry,30,mildred.berry@company.com,62000.00,HR,2020-10-06,3.8
125,Russell Stone,38,russell.stone@company.com,82000.25,Engineering,2017-11-19,4.1
126,Norma Lynch,27,norma.lynch@company.com,54000.50,Sales,2022-03-03,3.5
127,Bobby Armstrong,45,bobby.armstrong@company.com,95000.75,Engineering,2016-04-16,4.4
128,Rachel Pierce,33,rachel.pierce@company.com,70000.00,Finance,2019-06-29,3.9
129,Eugene Elliott,41,eugene.elliott@company.com,87000.25,Engineering,2017-01-12,4.2
130,Annie Hansen,29,annie.hansen@company.com,59000.50,Marketing,2021-07-25,3.7
131,Harry Osborne,54,harry.osborne@company.com,129000.75,Engineering,2015-05-18,4.8
132,Helen Rose,34,helen.rose@company.com,72000.00,HR,2018-12-01,4.0
133,Jesse Mills,39,jesse.mills@company.com,84000.25,Sales,2017-08-14,4.1
134,Theresa Ferguson,28,theresa.ferguson@company.com,57000.50,Marketing,2021-11-27,3.6
135,Wayne Little,46,wayne.little@company.com,101000.75,Engineering,2015-10-20,4.5
136,Evelyn Norton,32,evelyn.norton@company.com,68000.00,Finance,2019-02-02,3.9
137,Billy Garrett,43,billy.garrett@company.com,91000.25,Engineering,2016-06-15,4.3
138,Nicole George,30,nicole.george@company.com,63000.50,Sales,2020-09-28,3.8
139,Phillip Kennedy,50,phillip.kennedy@company.com,116000.75,Engineering,2015-07-01,4.6
140,Emma Tyler,31,emma.tyler@company.com,65000.00,HR,2020-11-14,3.9
141,Bruce Black,38,bruce.black@company.com,81000.25,Finance,2017-12-27,4.1
142,Frances Mann,27,frances.mann@company.com,53000.50,Marketing,2022-04-10,3.5
143,Howard Hopkins,44,howard.hopkins@company.com,94000.75,Engineering,2016-08-23,4.3
144,Irene Knight,33,irene.knight@company.com,69000.00,Sales,2019-12-06,3.9
145,Jimmy Dunn,51,jimmy.dunn@company.com,119000.25,Engineering,2015-03-19,4.6
146,Wanda Mcdonald,35,wanda.mcdonald@company.com,74000.50,HR,2018-07-02,4.0
147,Steve Owen,40,steve.owen@company.com,86000.75,Finance,2017-04-15,4.2
148,Cheryl Reeves,29,cheryl.reeves@company.com,60000.00,Marketing,2021-10-28,3.7
149,Craig Powers,47,craig.powers@company.com,105000.25,Engineering,2015-11-10,4.5
150,Sara Craig,32,sara.craig@company.com,67000.50,Sales,2019-08-23,3.8
