customer_id,full_name,email,phone
L044,Sandra Collins,sandra.collins@company.com,(555) 456-7894
L045,Charles Stewart,charles.stewart@outlook.com,(555) 567-8905
L046,Helen Morris,helen.morris@gmail.com,(555) 678-9016
L047,Edward Rogers,edward.rogers@yahoo.com,(555) 789-0127
L048,Dorothy Reed,dorothy.reed@hotmail.com,(555) 890-1238
L049,Richard Cook,richard.cook@company.com,(555) 901-2349
L050,Nancy Morgan,nancy.morgan@outlook.com,(555) 012-3460
L051,Thomas Bell,thomas.bell@gmail.com,(555) 123-4572
L052,Margaret Murphy,margaret.murphy@yahoo.com,(555) 234-5683
L053,Anthony Bailey,anthony.bailey@hotmail.com,(555) 345-6784
L054,Linda Rivera,linda.rivera@company.com,(555) 456-7895
L055,Ronald Cooper,ronald.cooper@outlook.com,(555) 567-8906
L056,Patricia Richardson,patricia.richardson@gmail.com,(555) 678-9017
L057,Frank Cox,frank.cox@yahoo.com,(555) 789-0128
L058,Maria Howard,maria.howard@hotmail.com,(555) 890-1239
L059,Gregory Ward,gregory.ward@company.com,(555) 901-2350
L060,Ruth Torres,ruth.torres@outlook.com,(555) 012-3461
L061,Raymond Peterson,raymond.peterson@gmail.com,(555) 123-4573
L062,Virginia Gray,virginia.gray@yahoo.com,(555) 234-5684
L063,Patrick Ramirez,patrick.ramirez@hotmail.com,(555) 345-6785
L064,Deborah James,deborah.james@company.com,(555) 456-7896
L065,Douglas Watson,douglas.watson@outlook.com,(555) 567-8907
L066,Catherine Brooks,catherine.brooks@gmail.com,(555) 678-9018
L067,Henry Kelly,henry.kelly@yahoo.com,(555) 789-0129
L068,Janet Sanders,janet.sanders@hotmail.com,(555) 890-1240
L069,Carl Price,carl.price@company.com,(555) 901-2351
L070,Katherine Bennett,katherine.bennett@outlook.com,(555) 012-3462
L071,Arthur Wood,arthur.wood@gmail.com,(555) 123-4574
L072,Joyce Barnes,joyce.barnes@yahoo.com,(555) 234-5685
L073,Harold Ross,harold.ross@hotmail.com,(555) 345-6786
L074,Diane Henderson,diane.henderson@company.com,(555) 456-7897
L075,Walter Coleman,walter.coleman@outlook.com,(555) 567-8908
L076,Alice Jenkins,alice.jenkins@gmail.com,(555) 678-9019
L077,Eugene Perry,eugene.perry@yahoo.com,(555) 789-0130
L078,Marie Powell,marie.powell@hotmail.com,(555) 890-1241
L079,Gerald Long,gerald.long@company.com,(555) 901-2352
L080,Julie Patterson,julie.patterson@outlook.com,(555) 012-3463
L081,Ralph Hughes,ralph.hughes@gmail.com,(555) 123-4575
L082,Ann Flores,ann.flores@yahoo.com,(555) 234-5686
L083,Peter Washington,peter.washington@hotmail.com,(555) 345-6787
L084,Jean Butler,jean.butler@company.com,(555) 456-7898
L085,Albert Simmons,albert.simmons@outlook.com,(555) 567-8909
L086,Cheryl Foster,cheryl.foster@gmail.com,(555) 678-9020
L087,Jack Gonzales,jack.gonzales@yahoo.com,(555) 789-0131
L088,Mildred Bryant,mildred.bryant@hotmail.com,(555) 890-1242
L089,Russell Alexander,russell.alexander@company.com,(555) 901-2353
L090,Frances Russell,frances.russell@outlook.com,(555) 012-3464
L091,Bobby Griffin,bobby.griffin@gmail.com,(555) 123-4576
L092,Gloria Diaz,gloria.diaz@yahoo.com,(555) 234-5687
L093,Philip Hayes,philip.hayes@hotmail.com,(555) 345-6788
L094,Teresa Myers,teresa.myers@company.com,(555) 456-7899
L095,Victor Ford,victor.ford@outlook.com,(555) 567-8910
L096,Evelyn Hamilton,evelyn.hamilton@gmail.com,(555) 678-9021
L097,Samuel Graham,samuel.graham@yahoo.com,(555) 789-0132
L098,Irene Sullivan,irene.sullivan@hotmail.com,(555) 890-1243
L099,Louis Wallace,louis.wallace@company.com,(555) 901-2354
L100,Annie Woods,annie.woods@outlook.com,(555) 012-3465
