transfer_id,date,amount,account_number,routing_number,fee_flat,tax_rate
ACH095,2024-03-02,5900.00,9578901234,071000039,2.50,0.065
ACH096,2024-03-02,450.00,9689012345,081000045,1.50,0.0
ACH097,2024-03-03,16200.00,9790123456,091000028,3.00,0.0825
ACH098,2024-03-03,3250.50,9801234567,101000054,2.50,0.065
ACH099,2024-03-04,725.75,9912345678,111000041,2.00,0.0
ACH100,2024-03-04,12300.00,1012345679,121000247,3.00,0.065
ACH101,2024-03-05,2650.00,1123456780,021000322,2.00,0.0825
ACH102,2024-03-05,7200.00,1234567801,031100649,2.50,0.065
ACH103,2024-03-06,575.50,1345678912,041000153,1.50,0.0
ACH104,2024-03-06,19800.00,1456789023,051000017,3.00,0.0825
ACH105,2024-03-07,4100.00,1567890134,061092387,2.50,0.065
ACH106,2024-03-07,925.00,1678901245,071025661,2.00,0.0
ACH107,2024-03-08,11500.00,1789012356,081000210,3.00,0.065
ACH108,2024-03-08,2250.75,1890123467,091301024,2.00,0.0825
ACH109,2024-03-09,6400.00,1901234578,101089742,2.50,0.065
ACH110,2024-03-09,375.00,2012345689,111017694,1.50,0.0
ACH111,2024-03-10,24000.00,2123456790,121140399,3.00,0.0825
ACH112,2024-03-10,4500.00,2234567801,021200339,2.50,0.065
ACH113,2024-03-11,975.25,2345678912,031100209,2.00,0.0
ACH114,2024-03-11,14500.00,2456789023,041200555,3.00,0.065
ACH115,2024-03-12,2850.00,2567890134,051402372,2.00,0.0825
ACH116,2024-03-12,7800.00,2678901245,061120084,2.50,0.065
ACH117,2024-03-13,625.50,2789012356,071025661,1.50,0.0
ACH118,2024-03-13,21500.00,2890123467,081501065,3.00,0.0825
ACH119,2024-03-14,3800.00,2901234578,091301024,2.50,0.065
ACH120,2024-03-14,825.75,3012345689,101200453,2.00,0.0
ACH121,2024-03-15,13800.00,3123456790,111900659,3.00,0.065
ACH122,2024-03-15,2550.00,3234567801,121042882,2.00,0.0825
ACH123,2024-03-16,8500.00,3345678912,021300077,2.50,0.065
ACH124,2024-03-16,475.00,3456789023,031100157,1.50,0.0
ACH125,2024-03-17,18500.00,3567890134,041001039,3.00,0.0825
ACH126,2024-03-17,4200.00,3678901245,051000020,2.50,0.065
ACH127,2024-03-18,925.50,3789012356,061000104,2.00,0.0
ACH128,2024-03-18,15800.00,3890123467,071101307,3.00,0.065
ACH129,2024-03-19,2950.00,3901234578,081000032,2.00,0.0825
ACH130,2024-03-19,7100.00,4012345689,091000022,2.50,0.065
ACH131,2024-03-20,525.25,4123456790,101000048,1.50,0.0
ACH132,2024-03-20,22000.00,4234567801,111000038,3.00,0.0825
ACH133,2024-03-21,4400.00,4345678912,121000374,2.50,0.065
ACH134,2024-03-21,875.00,4456789023,021001088,2.00,0.0
ACH135,2024-03-22,12600.00,4567890134,031302971,3.00,0.065
ACH136,2024-03-22,2350.75,4678901245,041000014,2.00,0.0825
ACH137,2024-03-23,6900.00,4789012356,051000033,2.50,0.065
ACH138,2024-03-23,425.00,4890123467,061000227,1.50,0.0
ACH139,2024-03-24,17200.00,4901234578,071000039,3.00,0.0825
ACH140,2024-03-24,3600.00,5012345689,081000045,2.50,0.065
ACH141,2024-03-25,775.50,5123456790,091000028,2.00,0.0
ACH142,2024-03-25,10200.00,5234567801,101000054,3.00,0.065
ACH143,2024-03-26,2050.00,5345678912,111000041,2.00,0.0825
ACH144,2024-03-26,5700.00,5456789023,121000247,2.50,0.065
ACH145,2024-03-27,375.25,5567890134,021000322,1.50,0.0
ACH146,2024-03-27,20500.00,5678901245,031100649,3.00,0.0825
ACH147,2024-03-28,4000.00,5789012356,041000153,2.50,0.065
ACH148,2024-03-28,825.00,5890123467,051000017,2.00,0.0
ACH149,2024-03-29,14800.00,5901234578,061092387,3.00,0.065
ACH150,2024-03-29,2750.50,6012345689,071025661,2.00,0.0825
