CustomerID,Name,Email,Phone,Address,City,State,ZipCode,MembershipLevel,JoinDate
C054,Deborah Morgan,deborah.morgan@email.com,(555)567-3456,357 Elmcrest Boulevard,St Louis,MO,63101,Silver,2022-10-24
C055,Samuel Bell,samuel.bell@email.com,(555)678-4567,486 Pinecrest Way,Riverside,CA,92501,Gold,2021-05-16
C056,Catherine Murphy,catherine.murphy@email.com,(555)789-5678,753 Birchcrest Avenue,Corpus Christi,TX,78401,Platinum,2020-11-03
C057,Patrick Bailey,patrick.bailey@email.com,(555)890-6789,951 Cedarcrest Place,Lexington,KY,40501,Bronze,2022-04-07
C058,Janet Rivera,janet.rivera@email.com,(555)901-7890,135 Mapleridge Street Apt 11,Pittsburgh,PA,15201,Silver,2021-01-29
C059,Dennis Cooper,dennis.cooper@email.com,(555)012-8901,246 Oakmont Road,Anchorage,AK,99501,Gold,2020-08-14
C060,Carolyn Richardson,carolyn.richardson@email.com,(555)123-9012,864 Elmridge Drive,Stockton,CA,95201,Platinum,2022-05-26
C061,Jerry Cox,jerry.cox@email.com,(555)234-1234,975 Pinehurst Lane,Cincinnati,OH,45201,Bronze,2021-11-09
C062,Maria Howard,maria.howard@email.com,(555)345-2345,531 Birchmont Court Suite 8,St Paul,MN,55101,Silver,2020-03-24
C063,Peter Ward,peter.ward@email.com,(555)456-3456,642 Cedarmont Boulevard,Toledo,OH,43601,Gold,2022-09-12
C064,Heather Torres,heather.torres@email.com,(555)567-4567,753 Maplewood Way,Newark,NJ,07101,Platinum,2021-06-01
C065,Harold Peterson,harold.peterson@email.com,(555)678-5678,864 Oakwood Avenue Unit 4,Greensboro,NC,27401,Bronze,2020-01-17
C066,Diane Gray,diane.gray@email.com,(555)789-6789,975 Elmwood Place,Plano,TX,75024,Silver,2022-08-05
C067,Carl Ramirez,carl.ramirez@email.com,(555)890-7890,147 Pinewood Street,Henderson,NV,89001,Gold,2021-03-20
C068,Julie James,julie.james@email.com,(555)901-8901,258 Birchwood Road Apt 6A,Lincoln,NE,68501,Platinum,2020-10-08
C069,Arthur Watson,arthur.watson@email.com,(555)012-9012,369 Cedarwood Drive,Buffalo,NY,14201,Bronze,2022-02-16
C070,Joyce Brooks,joyce.brooks@email.com,(555)123-0123,741 Maplewood Lane,Jersey City,NJ,07302,Silver,2021-12-29
C071,Willie Kelly,willie.kelly@email.com,(555)234-2345,852 Oakwood Court,Chula Vista,CA,91910,Gold,2020-07-11
C072,Evelyn Sanders,evelyn.sanders@email.com,(555)345-3456,963 Elmwood Boulevard Suite 12,Fort Wayne,IN,46801,Platinum,2022-03-23
C073,Henry Price,henry.price@email.com,(555)456-4567,159 Pinewood Way,Orlando,FL,32802,Bronze,2021-10-15
C074,Cheryl Bennett,cheryl.bennett@email.com,(555)567-5678,357 Birchwood Avenue,St Petersburg,FL,33701,Silver,2020-05-28
C075,Sean Wood,sean.wood@email.com,(555)678-6789,486 Cedarwood Place,Chandler,AZ,85224,Gold,2022-01-06
C076,Frances Barnes,frances.barnes@email.com,(555)789-7890,753 Maplewood Street,Laredo,TX,78040,Platinum,2021-08-19
C077,Douglas Ross,douglas.ross@email.com,(555)890-8901,951 Oakwood Road Unit 3C,Norfolk,VA,23501,Bronze,2020-04-02
C078,Martha Henderson,martha.henderson@email.com,(555)901-9012,135 Elmwood Drive,Durham,NC,27701,Silver,2022-11-10
C079,Gerald Coleman,gerald.coleman@email.com,(555)012-0123,246 Pinewood Lane,Madison,WI,53701,Gold,2021-07-04
C080,Judith Jenkins,judith.jenkins@email.com,(555)123-1234,864 Birchwood Court,Lubbock,TX,79401,Platinum,2020-02-15
C081,Keith Perry,keith.perry@email.com,(555)234-3456,975 Cedarwood Boulevard,Winston-Salem,NC,27101,Bronze,2022-09-27
C082,Theresa Powell,theresa.powell@email.com,(555)345-4567,531 Maplewood Way Apt 5B,Garland,TX,75040,Silver,2021-04-11
C083,Wayne Long,wayne.long@email.com,(555)456-5678,642 Oakwood Avenue,Glendale,AZ,85301,Gold,2020-11-24
C084,Beverly Patterson,beverly.patterson@email.com,(555)567-6789,753 Elmwood Place Suite 7,Hialeah,FL,33010,Platinum,2022-06-08
C085,Albert Hughes,albert.hughes@email.com,(555)678-7890,864 Pinewood Street,Reno,NV,89501,Bronze,2021-02-20
C086,Gloria Flores,gloria.flores@email.com,(555)789-8901,975 Birchwood Road,Baton Rouge,LA,70801,Silver,2020-09-03
C087,Roy Washington,roy.washington@email.com,(555)890-9012,147 Cedarwood Drive Unit 9,Irving,TX,75014,Gold,2022-04-15
C088,Lillian Butler,lillian.butler@email.com,(555)901-0123,258 Maplewood Lane,Chesapeake,VA,23320,Platinum,2021-11-01
C089,Jesse Simmons,jesse.simmons@email.com,(555)012-1234,369 Oakwood Court,Scottsdale,AZ,85251,Bronze,2020-06-13
C090,Teresa Foster,teresa.foster@email.com,(555)123-2345,741 Elmwood Boulevard Apt 1A,North Las Vegas,NV,89030,Silver,2022-01-25
C091,Russell Gonzales,russell.gonzales@email.com,(555)234-4567,852 Pinewood Way,Irving,TX,75015,Gold,2021-09-18
C092,Norma Bryant,norma.bryant@email.com,(555)345-5678,963 Birchwood Avenue,Fremont,CA,94536,Platinum,2020-03-31
C093,Ralph Alexander,ralph.alexander@email.com,(555)456-6789,159 Cedarwood Place Suite 11,Gilbert,AZ,85233,Bronze,2022-10-13
C094,Marilyn Russell,marilyn.russell@email.com,(555)567-7890,357 Maplewood Street,Boise,ID,83701,Silver,2021-05-26
C095,Eugene Griffin,eugene.griffin@email.com,(555)678-8901,486 Oakwood Road,San Bernardino,CA,92401,Gold,2020-12-09
C096,Virginia Diaz,virginia.diaz@email.com,(555)789-9012,753 Elmwood Drive Unit 2B,Spokane,WA,99201,Platinum,2022-07-22
C097,Philip Hayes,philip.hayes@email.com,(555)890-0123,951 Pinewood Lane,Des Moines,IA,50301,Bronze,2021-03-14
C098,Kathryn Myers,kathryn.myers@email.com,(555)901-1234,135 Birchwood Court,Modesto,CA,95350,Silver,2020-10-27
C099,Aaron Ford,aaron.ford@email.com,(555)012-2345,246 Cedarwood Boulevard Apt 8D,Tacoma,WA,98401,Gold,2022-05-10
C100,Joan Hamilton,joan.hamilton@email.com,(555)123-3456,864 Maplewood Way,Shreveport,LA,71101,Platinum,2021-01-22
C101,Douglas Graham,douglas.graham@email.com,(555)234-5678,975 Oakwood Avenue Suite 14,Fontana,CA,92335,Bronze,2020-08-05
C102,Andrea Sullivan,andrea.sullivan@email.com,(555)345-6789,531 Elmwood Place,Aurora,IL,60505,Silver,2022-02-17
C103,Tyler Wallace,tyler.wallace@email.com,(555)456-7890,642 Pinewood Street Unit 5,Moreno Valley,CA,92553,Gold,2021-10-30
C104,Jacqueline Woods,jacqueline.woods@email.com,(555)567-8901,753 Birchwood Road,Oxnard,CA,93030,Platinum,2020-05-14
C105,Christian Cole,christian.cole@email.com,(555)678-9012,864 Cedarwood Drive Apt 3B,Fayetteville,NC,28301,Bronze,2022-12-26
C106,Mildred West,mildred.west@email.com,(555)789-0123,975 Maplewood Lane,Tallahassee,FL,32301,Silver,2021-06-18
C107,Randy Jordan,randy.jordan@email.com,(555)890-1234,147 Oakwood Court,Sioux Falls,SD,57101,Gold,2020-01-30
C108,Doris Owens,doris.owens@email.com,(555)901-2345,258 Elmwood Boulevard Suite 6,Tempe,AZ,85281,Platinum,2022-08-12
C109,Lawrence Reynolds,lawrence.reynolds@email.com,(555)012-3456,369 Pinewood Way,McKinney,TX,75069,Bronze,2021-04-25
C110,Ruby Fisher,ruby.fisher@email.com,(555)123-4567,741 Birchwood Avenue Unit 7,Cape Coral,FL,33904,Silver,2020-11-07
C111,Howard Ellis,howard.ellis@email.com,(555)234-6789,852 Cedarwood Place,Port St Lucie,FL,34952,Gold,2022-03-21
C112,Jean Marshall,jean.marshall@email.com,(555)345-7890,963 Maplewood Street Apt 10,Vancouver,WA,98660,Platinum,2021-12-03
C113,Clarence Romero,clarence.romero@email.com,(555)456-8901,159 Oakwood Road,Knoxville,TN,37901,Bronze,2020-07-16
C114,Denise Castro,denise.castro@email.com,(555)567-9012,357 Elmwood Drive Suite 13,Worcester,MA,01601,Silver,2022-02-28
C115,Jerry Ortiz,jerry.ortiz@email.com,(555)678-0123,486 Pinewood Lane,Ontario,CA,91761,Gold,2021-09-11
C116,Ann Gomez,ann.gomez@email.com,(555)789-1234,753 Birchwood Court Unit 4C,Fort Lauderdale,FL,33301,Platinum,2020-04-24
C117,Bruce Murray,bruce.murray@email.com,(555)890-2345,951 Cedarwood Boulevard,Chattanooga,TN,37401,Bronze,2022-11-06
C118,Kelly Freeman,kelly.freeman@email.com,(555)901-3456,135 Maplewood Way Apt 12,Providence,RI,02901,Silver,2021-07-19
C119,Victor Wells,victor.wells@email.com,(555)012-4567,246 Oakwood Avenue,Rancho Cucamonga,CA,91730,Gold,2020-02-01
C120,Christina Webb,christina.webb@email.com,(555)123-5678,864 Elmwood Place Suite 9,Santa Rosa,CA,95401,Platinum,2022-09-14
C121,Annie Simpson,annie.simpson@email.com,(555)234-7890,975 Pinewood Street,Oceanside,CA,92054,Bronze,2021-05-27
C122,Adam Stevens,adam.stevens@email.com,(555)345-8901,531 Birchwood Road Unit 6D,Salem,OR,97301,Silver,2020-12-10
C123,Pamela Tucker,pamela.tucker@email.com,(555)456-9012,642 Cedarwood Drive,Elk Grove,CA,95624,Gold,2022-06-23
C124,Johnny Porter,johnny.porter@email.com,(555)567-0123,753 Maplewood Lane Apt 8,Garden Grove,CA,92840,Platinum,2021-02-05
C125,Alice Hunter,alice.hunter@email.com,(555)678-1234,864 Oakwood Court,Pembroke Pines,FL,33024,Bronze,2020-09-18
C126,Louis Hicks,louis.hicks@email.com,(555)789-2345,975 Elmwood Boulevard Suite 15,Eugene,OR,97401,Silver,2022-04-01
C127,Julia Crawford,julia.crawford@email.com,(555)890-3456,147 Pinewood Way,Cary,NC,27511,Gold,2021-11-14
C128,Willie Henry,willie.henry@email.com,(555)901-4567,258 Birchwood Avenue Unit 1B,Corona,CA,92877,Platinum,2020-06-27
C129,Albert Boyd,albert.boyd@email.com,(555)012-5678,369 Cedarwood Place,Springfield,MA,01101,Bronze,2022-01-09
C130,Janice Mason,janice.mason@email.com,(555)123-6789,741 Maplewood Street Apt 11,Fort Collins,CO,80521,Silver,2021-08-22
C131,Jonathan Morales,jonathan.morales@email.com,(555)234-8901,852 Oakwood Road,Lancaster,CA,93534,Gold,2020-03-06
C132,Bonnie Reynolds,bonnie.reynolds@email.com,(555)345-9012,963 Elmwood Drive Suite 3,Palmdale,CA,93550,Platinum,2022-10-19
C133,Phillip Kennedy,phillip.kennedy@email.com,(555)456-0123,159 Pinewood Lane Unit 7A,Salinas,CA,93901,Bronze,2021-06-02
C134,Wanda Warren,wanda.warren@email.com,(555)567-1234,357 Birchwood Court,Hayward,CA,94541,Silver,2020-01-15
C135,Terry Dixon,terry.dixon@email.com,(555)678-2345,486 Cedarwood Boulevard Apt 9,Clarksville,TN,37040,Gold,2022-07-28
C136,Irene Palmer,irene.palmer@email.com,(555)789-3456,753 Maplewood Way,Paterson,NJ,07501,Platinum,2021-03-12
C137,Shawn Cunningham,shawn.cunningham@email.com,(555)890-4567,951 Oakwood Avenue Suite 16,Alexandria,VA,22301,Bronze,2020-10-25
C138,Sara Boyd,sara.boyd@email.com,(555)901-5678,135 Elmwood Place Unit 2C,Naperville,IL,60540,Silver,2022-05-08
C139,Benjamin Knight,benjamin.knight@email.com,(555)012-6789,246 Pinewood Street,Rockford,IL,61101,Gold,2021-01-20
C140,Kimberly Harper,kimberly.harper@email.com,(555)123-7890,864 Birchwood Road Apt 5D,Joliet,IL,60431,Platinum,2020-08-03
C141,Billy Fox,billy.fox@email.com,(555)234-9012,975 Cedarwood Drive,Bridgeport,CT,06601,Bronze,2022-02-15
C142,Emma Bradley,emma.bradley@email.com,(555)345-0123,531 Maplewood Lane Suite 10,Savannah,GA,31401,Silver,2021-09-28
C143,Roger Burns,roger.burns@email.com,(555)456-1234,642 Oakwood Court Unit 4B,Mesquite,TX,75149,Gold,2020-05-11
C144,Amber Wells,amber.wells@email.com,(555)567-2345,753 Elmwood Boulevard,Killeen,TX,76540,Platinum,2022-12-24
C145,Joe Harper,joe.harper@email.com,(555)678-3456,864 Pinewood Way Apt 6C,Syracuse,NY,13201,Bronze,2021-07-07
C146,Lois Murphy,lois.murphy@email.com,(555)789-4567,975 Birchwood Avenue,McAllen,TX,78501,Silver,2020-03-20
C147,Russell Vasquez,russell.vasquez@email.com,(555)890-5678,147 Cedarwood Place Suite 8A,Pasadena,TX,77501,Gold,2022-10-02
C148,Tiffany Sims,tiffany.sims@email.com,(555)901-6789,258 Maplewood Street Unit 3D,Bellevue,WA,98004,Platinum,2021-05-15
C149,Clarence Carroll,clarence.carroll@email.com,(555)012-7890,369 Oakwood Road,Fullerton,CA,92831,Bronze,2020-11-28
C150,Gladys Franklin,gladys.franklin@email.com,(555)123-8901,741 Elmwood Drive Apt 7B,Carrollton,TX,75006,Silver,2022-06-11
