LogID,DateTime,Operation,SystemID,KeyIdentifier,KeyData,EncodingType,Status
27,2024-01-18 13:44:56,KEY_ROTATION,WKS-6791,BLK-00149,505152626374748586869798980910102234345467576789,Hex,FAILED
28,2024-01-18 14:55:13,KEY_ACCESS,LAPTOP-7892,BLK-00150,MjIzMzI1LTMzNDQzNi00NDU1NDctNTU2NjU4LTY2Nzc2OS03Nzg4NzAtODg5OTgxLTk5MDAwMg==,Base64,COMPLETED
29,2024-01-19 08:14:28,AUDIT_LOG,WKS-8903,BLK-00151,223325-334436-445547-556658-667769-778870-889981-990002,Dash-Separated,COMPLETED
30,2024-01-19 09:25:47,KEY_BACKUP,LAPTOP-9014,BLK-00152,505162 626374 748586 869798 980910 102234 345467 476589,Space-Separated,COMPLETED
31,2024-01-19 10:36:03,KEY_RESTORE,WKS-0125,BLK-00153,334436445547556658667769778870889981990002001113,Plain,COMPLETED
32,2024-01-19 11:47:21,KEY_ACCESS,LAPTOP-1237,BLK-00154,333434363536373839404142434445464748495051525354,Hex,CORRUPTED
33,2024-01-19 12:58:39,KEY_ROTATION,WKS-2348,BLK-00155,NDQ1NTQ3LTU1NjY1OC02Njc3NjktNzc4ODcwLTg4OTk4MS05OTAwMDItMDAxMTEzLTExMjIyNA==,Base64,COMPLETED
34,2024-01-19 13:11:52,AUDIT_LOG,LAPTOP-3459,BLK-00156,445547-556658-667769-778870-889981-990002-001113-112224,Dash-Separated,COMPLETED
35,2024-01-19 14:22:08,KEY_BACKUP,WKS-4570,BLK-00157,515263 637485 758697 879809 991021 213345 456678 678800,Space-Separated,COMPLETED
36,2024-01-20 08:33:25,KEY_ACCESS,LAPTOP-5682,BLK-00158,556658667769778870889981990002001113112224223335,Plain,COMPLETED
37,2024-01-20 09:44:41,KEY_RESTORE,WKS-6792,BLK-00159,NTU2NjU4LTY2Nzc2OS03Nzg4NzAtODg5OTgxLTk5MDAwMi0wMDExMTMtMTEyMjI0LTIyMzMzNQ==,Base64,COMPLETED
38,2024-01-20 10:55:57,KEY_ROTATION,LAPTOP-7893,BLK-00160,667769-778870-889981-990002-001113-112224-223335-334446,Dash-Separated,COMPLETED
39,2024-01-20 11:18:14,AUDIT_LOG,WKS-8904,BLK-00161,525364 647586 768798 889910 001132 223354 445576 567788,Space-Separated,COMPLETED
40,2024-01-20 12:29:30,KEY_BACKUP,LAPTOP-9015,BLK-00162,667769778870889981990002001113112224223335334446,Plain,COMPLETED
41,2024-01-20 13:40:46,KEY_ACCESS,WKS-0126,BLK-00163,343536373839404142434445464748495051525354555657,Hex,FAILED
42,2024-01-20 14:51:02,KEY_RESTORE,LAPTOP-1238,BLK-00164,Nzc4ODcwLTg4OTk4MS05OTAwMDItMDAxMTEzLTExMjIyNC0yMjMzMzUtMzM0NDQ2LTQ0NTU1Nw==,Base64,COMPLETED
43,2024-01-21 08:22:18,KEY_ROTATION,WKS-2349,BLK-00165,778870-889981-990002-001113-112224-223335-334446-445557,Dash-Separated,COMPLETED
44,2024-01-21 09:33:34,AUDIT_LOG,LAPTOP-3460,BLK-00166,535465 657687 779809 901021 123243 345465 567687 789809,Space-Separated,COMPLETED
45,2024-01-21 10:44:50,KEY_BACKUP,WKS-4571,BLK-00167,889981990002001113112224223335334446445557556668,Plain,COMPLETED
46,2024-01-21 11:56:06,KEY_ACCESS,LAPTOP-5683,BLK-00168,ODg5OTgxLTk5MDAwMi0wMDExMTMtMTEyMjI0LTIyMzMzNS0zMzQ0NDYtNDQ1NTU3LTU1NjY2OA==,Base64,COMPLETED
47,2024-01-21 12:17:22,KEY_RESTORE,WKS-6793,BLK-00169,990002-001113-112224-223335-334446-445557-556668-667779,Dash-Separated,COMPLETED
48,2024-01-21 13:28:38,KEY_ROTATION,LAPTOP-7894,BLK-00170,545566 667788 789900 011122 233344 455566 677788 899900,Space-Separated,COMPLETED
49,2024-01-21 14:39:54,AUDIT_LOG,WKS-8905,BLK-00171,001113112224223335334446445557556668667779778880,Plain,COMPLETED
50,2024-01-22 08:51:10,KEY_BACKUP,LAPTOP-9016,BLK-00172,MDAxMTEzLTExMjIyNC0yMjMzMzUtMzM0NDQ2LTQ0NTU1Ny01NTY2NjgtNjY3Nzc5LTc3ODg4MA==,Base64,COMPLETED
51,2024-01-22 09:12:26,KEY_ACCESS,WKS-0127,BLK-00173,112224-223335-334446-445557-556668-667779-778880-889991,Dash-Separated,COMPLETED
52,2024-01-22 10:23:42,KEY_RESTORE,LAPTOP-1239,BLK-00174,555667 677889 899001 121233 344455 566677 788899 900112,Space-Separated,COMPLETED
53,2024-01-22 11:34:58,KEY_ROTATION,WKS-2350,BLK-00175,112224223335334446445557556668667779778880889991,Plain,COMPLETED
54,2024-01-22 12:46:14,AUDIT_LOG,LAPTOP-3461,BLK-00176,353637383940414243444546474849505152535455565758,Hex,CORRUPTED
55,2024-01-22 13:57:30,KEY_BACKUP,WKS-4572,BLK-00177,MjIzMzM1LTMzNDQ0Ni00NDU1NTctNTU2NjY4LTY2Nzc3OS03Nzg4ODAtODg5OTkxLTk5MDAxMg==,Base64,COMPLETED
56,2024-01-22 14:18:46,KEY_ACCESS,LAPTOP-5684,BLK-00178,223335-334446-445557-556668-667779-778880-889991-990012,Dash-Separated,COMPLETED
57,2024-01-22 15:30:02,KEY_RESTORE,WKS-6794,BLK-00179,566778 788990 011223 334455 566778 899001 122334,Space-Separated,PARTIAL
58,2024-01-23 08:41:18,KEY_ROTATION,LAPTOP-7895,BLK-00180,334446445557556668667779778880889991990012001123,Plain,COMPLETED
59,2024-01-23 09:52:34,AUDIT_LOG,WKS-8906,BLK-00181,MzM0NDQ2LTQ0NTU1Ny01NTY2NjgtNjY3Nzc5LTc3ODg4MC04ODk5OTEtOTkwMDEyLTAwMTEyMw==,Base64,COMPLETED
60,2024-01-23 10:13:50,KEY_BACKUP,LAPTOP-9017,BLK-00182,445557-556668-667779-778880-889991-990012-001123-112234,Dash-Separated,COMPLETED
61,2024-01-23 11:25:06,KEY_ACCESS,WKS-0128,BLK-00183,577889 899012 223344 556677 889900 122334 455667 778899,Space-Separated,COMPLETED
62,2024-01-23 12:36:22,KEY_RESTORE,LAPTOP-1240,BLK-00184,556668667779778880889991990012001123112234223345,Plain,COMPLETED
63,2024-01-23 13:47:38,KEY_ROTATION,WKS-2351,BLK-00185,NTU2NjY4LTY2Nzc3OS03Nzg4ODAtODg5OTkxLTk5MDAxMi0wMDExMjMtMTEyMjM0LTIyMzM0NQ==,Base64,COMPLETED
64,2024-01-23 14:58:54,AUDIT_LOG,LAPTOP-3462,BLK-00186,667779-778880-889991-990012-001123-112234-223345-334456,Dash-Separated,COMPLETED
65,2024-01-23 15:20:10,KEY_BACKUP,WKS-4573,BLK-00187,588990 001223 445667 889012 334556 778901 223445 667889,Space-Separated,COMPLETED
